Time of Day,Total Energy Used 3 People,Electric Water Heater *240V,Blender,Coffeemaker,Dishwasher,Refridgerator/Freezer 22 cu. ft,Electric Stove,Electric Oven *240V,Toaster Oven,Washer (front load),Dryer (front load) *240V,42'' Plasma Flat Screen TV,DVD Player ,Computer,Ink Jet Printer,Blow Dryer ,Iron,Vaccuum ,Air Conditioner (Window),Air Conditioner (Central),Ceiling Fan ,,,,,,,,,,,,,,,,,,,,
12:00 AM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
1:00 AM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
2:00 AM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
3:00 AM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
4:00 AM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
5:00 AM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
6:00 AM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
7:00 AM,2.28,0.5,0,0.1,0,0.271,0,0,0.06,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
8:00 AM,1.14,0.5,0.05,0,0,0.271,0,0,0,0,0,0,0,0,0,0.15,0.17,0,0,0,0,,,,,,,,,,,,,,,,,,,,
9:00 AM,0.27,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
10:00 AM,0.27,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
11:00 AM,0.27,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
12:00 PM,0.27,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
1:00 PM,0.27,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2:00 PM,0.27,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
3:00 PM,3.03,0.5,0,0,0,0.271,0,0,0,0,0,0,0,0.09,0,0,0,0,2.17,0,0,,,,,,,,,,,,,,,,,,,,
4:00 PM,3.03,0.5,0,0,0,0.271,0,0,0,0,0,0,0,0.09,0,0,0,0,2.17,0,0,,,,,,,,,,,,,,,,,,,,
5:00 PM,4.53,0.5,0,0,0,0.271,0,0,0,0,0,0,0,0.09,0,0,0,0.15,2.17,1.35,0,,,,,,,,,,,,,,,,,,,,
6:00 PM,3.33,0.5,0,0,0,0.271,0.51,0.593,0,0,0,0,0,0.09,0,0,0,0,0,1.35,0.014,,,,,,,,,,,,,,,,,,,,
7:00 PM,2.51,0.5,0,0,0,0.271,0,0,0,0.271,0,0,0.0097,0.09,0.006,0,0,0,0,1.35,0.014,,,,,,,,,,,,,,,,,,,,
8:00 PM,5.15,0.5,0,0,0.405,0.271,0,0,0,0,2.3,0.155,0.0097,0,0,0.15,0,0,0,1.35,0.014,,,,,,,,,,,,,,,,,,,,
9:00 PM,2.29,0.5,0,0,0,0.271,0,0,0,0,0,0.155,0,0,0,0,0,0,0,1.35,0.014,,,,,,,,,,,,,,,,,,,,
10:00 PM,2.14,0.5,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0.014,,,,,,,,,,,,,,,,,,,,
11:00 PM,1.62,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,,,,,,,,,,,,,,,,,,,,
